comparison;codec;preset;sequence;crf;real bitrate;subjective
2019;t265;mv_subjective;kayak_trip_short;1000;1913;3.048200021428735
2019;t265;mv_subjective;kayak_trip_short;2000;3788;4.277440666405397
2019;t265;mv_subjective;kayak_trip_short;4000;7490;5.156199637215055
2019;uc265;mv_subjective;kayak_trip_short;1000;1880;2.1720569573569506
2019;uc265;mv_subjective;kayak_trip_short;2000;3755;3.661062868534758
2019;uc265;mv_subjective;kayak_trip_short;4000;7507;4.967619032115523
2019;venc;mv_subjective;kayak_trip_short;1000;2689;3.464398688201893
2019;venc;mv_subjective;kayak_trip_short;2000;3828;4.975826054772655
2019;venc;mv_subjective;kayak_trip_short;4000;7333;5.640129032272128
2019;vp9;mv_subjective;kayak_trip_short;1000;2075;2.1924191662846244
2019;vp9;mv_subjective;kayak_trip_short;2000;3768;3.8327279223945574
2019;vp9;mv_subjective;kayak_trip_short;4000;7366;4.715079266487291
2019;x264;mv_subjective;kayak_trip_short;1000;1875;0
2019;x264;mv_subjective;kayak_trip_short;2000;3804;2.0768131711964974
2019;x264;mv_subjective;kayak_trip_short;4000;7626;4.25665000828255
2019;x265;mv_subjective;kayak_trip_short;1000;2286;2.8749525939170804
2019;x265;mv_subjective;kayak_trip_short;2000;4523;4.432644031138503
2019;x265;mv_subjective;kayak_trip_short;4000;8833;5.164655638986524
2019;xin265;mv_subjective;kayak_trip_short;1000;2011;2.3708630863580447
2019;xin265;mv_subjective;kayak_trip_short;2000;3835;4.009467011039511
2019;xin265;mv_subjective;kayak_trip_short;4000;7671;4.689924951323555
2019;xvc;mv_subjective;kayak_trip_short;1000;1763;2.83373253856137
2019;xvc;mv_subjective;kayak_trip_short;2000;3726;4.4347240021327785
2019;xvc;mv_subjective;kayak_trip_short;4000;8030;4.93840749713034
2019;bytedance;mv_subjective;making_alcohol_short;1000;1831;2.4680704293175113
2019;bytedance;mv_subjective;making_alcohol_short;2000;3648;3.048897469161765
2019;bytedance;mv_subjective;making_alcohol_short;4000;7183;3.0662700910086325
2019;huawei;mv_subjective;making_alcohol_short;1000;1865;2.5188832960034997
2019;huawei;mv_subjective;making_alcohol_short;2000;3687;2.995245760153294
2019;huawei_20190725;mv_subjective;making_alcohol_short;1000;1524;2.360884840121276
2019;huawei_20190725;mv_subjective;making_alcohol_short;2000;2502;2.874397956985133
2019;huawei_20190725;mv_subjective;making_alcohol_short;4000;3925;3.0353160464129445
2019;huawei;mv_subjective;making_alcohol_short;4000;7356;3.2947097061062562
2019;mainconcept;mv_subjective;making_alcohol_short;1000;1914;2.023708745165582
2019;mainconcept;mv_subjective;making_alcohol_short;2000;3852;2.2695075534210227
2019;mainconcept;mv_subjective;making_alcohol_short;4000;7709;2.33655340415645
2019;sif;mv_subjective;making_alcohol_short;1000;1926;0.8999483581908385
2019;sif;mv_subjective;making_alcohol_short;2000;3511;2.2642392796772226
2019;sif;mv_subjective;making_alcohol_short;4000;7186;2.86735165385047
2019;sz265;mv_subjective;making_alcohol_short;1000;1702;2.2936776164968142
2019;sz265;mv_subjective;making_alcohol_short;2000;3359;3.0006474752477024
2019;sz265;mv_subjective;making_alcohol_short;4000;6770;3.003000548985842
2019;t265;mv_subjective;making_alcohol_short;1000;1871;2.7218393468882716
